"Time","PVR.I","PVR.Vd","Compliance.I","Systemic Resistance.I","Systemic Resistance.Vd"
0,-0.000244132043684804,-0.190422994074147,-0.00214135590745785,0.00238548795114266,24.6110791919388
0.01171875,-0.000378878197873187,-0.295524994341086,-0.00250757401847743,0.00288645221635062,29.7795275160893
0.0234375,-0.000531452608145052,-0.414533034353141,-0.0027574230310536,0.00328887563919865,33.9313299696125
0.03515625,-0.000694933280550897,-0.5420479588297,-0.00288454636947887,0.00357947965002977,36.9294915493572
0.046875,-0.000862145133295255,-0.672473203970299,-0.00288656038757264,0.0037487055208679,38.6753948587941
0.05859375,-0.00102589256385627,-0.800196199807894,-0.00276514100494478,0.00379103356880105,39.1120933293204
0.0703125,-0.00117919310144112,-0.919770619124077,-0.00252597456078577,0.0037051676622269,38.2262147711949
0.08203125,-0.00131550433034678,-1.02609337767049,-0.00217857454977213,0.00349407888011891,36.0484118061868
0.09375,-0.00142893649560793,-1.11457046657418,-0.00173597037476753,0.00316490687037547,32.6523441816637
0.10546875,-0.00151444368105225,-1.18126607122075,-0.00121427851664929,0.00272872219770154,28.1522269136868
0.1171875,-0.0015679871655916,-1.22302998916145,-0.00063217044056596,0.00220015760615758,22.6990260227278
0.12890625,-0.00158666549239846,-1.2375990840708,-1.02549995697476E-05,0.00159692049196822,16.4754287156362
0.140625,-0.00156880689658598,-1.22366937933707,0.000629604053890537,0.000939202842695442,9.68975572808887
0.15234375,-0.00151402099309207,-1.18093637461181,0.00126501267569198,0.000249008317400074,2.56901881061657
0.1640625,-0.00142320798578588,-1.11010222891299,0.00187378908082339,-0.000450581095037513,-4.64864515750203
0.17578125,-0.00129852507605331,-1.01284955932158,0.00243469946385153,-0.0011361743877982,-11.721911158914
0.1875,-0.00114331117702629,-0.891782718080504,0.0029281623443688,-0.00178485116734251,-18.4143094934727
0.19921875,-0.000961972430594905,-0.750338495864026,0.00333689803970103,-0.00237492560910612,-24.5021075091479
0.2109375,-0.000759832332007756,-0.59266921896605,0.00364650159752028,-0.00288666926551252,-29.7817668122926
0.22265625,-0.000542951447627926,-0.423502129149782,0.00384592007374164,-0.00330296862611372,-34.0767273156153
0.234375,-0.0003179227259051,-0.247979726205978,0.00392781823107279,-0.0036098955051677,-37.2432919268151
0.24609375,-9.1649216025925E-05,-0.0714863885002215,0.00388882045447821,-0.00379717123845229,-39.1754156671123
0.2578125,0.000128888404135222,0.100532955225473,0.00372962080755931,-0.00385850921169452,-39.8082395370524
0.26953125,0.000336866748799009,0.262756064063227,0.0034549575508143,-0.00379182429961331,-39.1202512991105
0.28125,0.00052584926964889,0.410162430326134,0.00307345296233192,-0.00359930223198082,-37.1340011273461
0.29296875,0.000690002780352011,0.538202168674568,0.0025973237930022,-0.00328732657335421,-33.9153482572954
0.3046875,0.000824293748457043,0.642949123796494,0.0020419720020467,-0.00286626575050375,-29.5712637479471
0.31640625,0.000924657817026523,0.721233097280688,0.00142546941075487,-0.00235012722778141,-24.2462626090208
0.328125,0.000988136910495234,0.770746790186282,0.000767953449664849,-0.00175609036016009,-18.1175842457717
0.33984375,0.0010129793596337,0.790123900514287,9.09541391070495E-05,-0.00110393349874077,-11.3892819065085
0.3515625,0.000998699713114072,0.778985776228976,-0.000583325263805612,-0.000415374449308458,-4.28541819351536
0.36328125,0.000946096246925964,0.737955072602252,-0.00123274997346443,0.000286653726538449,2.95740649669718
0.375,0.000857225592968708,0.668635962515592,-0.00183599301534558,0.000978767422376862,10.0979434966621
0.38671875,0.0007353353375387,0.573561563280186,-0.00237324755154755,0.00163791221400884,16.8983403119292
0.3984375,0.000584756841477353,0.456110336352336,-0.00282688844731718,0.00224213160583982,23.1320717774494
0.41015625,0.000410761859732726,0.320394250591526,-0.00318206102567403,0.0027712991659413,28.5914934950164
0.421875,0.000219387744805065,0.17112244094795,-0.00342717738460646,0.0032077896398014,33.094765713831
0.43359375,1.72370657589029E-05,0.0134449112919443,-0.00355430373303462,0.00353706666727572,36.4919168062836
0.4453125,-0.000188741672724423,-0.14721850472505,-0.0035594258350627,0.00374816750778712,38.6698441778397
0.45703125,-0.00039148489684383,-0.305358219538188,-0.003442583715837,0.00383406861268083,39.5560858770281
0.46875,-0.000584048715237742,-0.455557997885439,-0.00320787114109302,0.00379191985633077,39.1212371577645
0.48046875,-0.000759839725772708,-0.592674986102712,-0.00286329989088771,0.00362313961666041,37.3799314250855
0.4921875,-0.000912834179428161,-0.712010659953966,-0.00242053335575415,0.00333336753518232,34.390352860476
0.50390625,-0.00103777819149854,-0.809466989368857,-0.00189449834029241,0.00293227653179096,30.2522969784873
0.515625,-0.00113036232239553,-0.881682611468515,-0.00130288801975809,0.00243325034215363,25.103843779999
0.52734375,-0.00118736470502904,-0.926144469922651,-0.00066557262414943,0.00185293732917847,19.1167544251343
0.5390625,-0.00120675794457885,-0.941271196771505,-3.93750062560594E-06,0.00121069544520446,12.4907449081744
0.55078125,-0.00118777622447217,-0.926465455088291,0.00065982937375246,0.000527946850719726,5.44682765887541
0.5625,-0.00113094037927794,-0.882133495836792,0.00130347667170816,-0.000172536292430219,-1.78005692900257
0.57421875,-0.00103804009677858,-0.809671275487292,0.0019054311374419,-0.00086739104066332,-8.94887336652347
0.5859375,-0.000912073840953517,-0.711417595943744,0.00244551642860706,-0.00153344258765354,-15.8205271768216
0.59765625,-0.000757148497347237,-0.590575827930845,0.00290562540979125,-0.00214847691244402,-22.1658363056849
0.609375,-0.000578342085295197,-0.451106826530254,0.00327032348081089,-0.0026919813955157,-27.7731720575354
