"Time","PVR.I","PVR.Vd","Compliance.I","Systemic Resistance.I","Systemic Resistance.Vd"
0,-0.00333501396937678,-0.0400201676325214,-0.000226696766694778,0.0035617107360714,36.7461696640486
0.01171875,-0.00412556808167786,-0.0495068169801343,-0.000193375470055984,0.00431894355173404,44.5585406232401
0.0234375,-0.00477857060814054,-0.0573428472976865,-0.000153606772282685,0.00493217738042382,50.8852740338325
0.03515625,-0.00527224960622075,-0.063266995274649,-0.000108716632097472,0.00538096623831777,55.5154286807245
0.046875,-0.00559014519960233,-0.0670817423952279,-6.0201743240557E-05,0.00565034694284239,58.2946294093049
0.05859375,-0.0057216583510753,-0.0686599002129036,-9.6796528680828E-06,0.00573133800394335,59.1302141866835
0.0703125,-0.00566240424746489,-0.0679488509695787,4.11651692526823E-05,0.00562123907821241,57.9943235699174
0.08203125,-0.00541435849479506,-0.0649723019375408,9.06374930766014E-05,0.00532372100171852,54.92482957473
0.09375,-0.00498579124910522,-0.0598294949892626,0.000137087849369359,0.00484870339973598,50.0240729750761
0.10546875,-0.00439099147909324,-0.0526918977491189,0.000178967525078302,0.00421202395401471,43.4554511335698
0.1171875,-0.00364979055400324,-0.0437974866480388,0.000214880199367377,0.00343491035463605,35.4379701287801
0.12890625,-0.00278690104093915,-0.0334428124912698,0.000243628498698783,0.00254327254224037,26.2389428182939
0.140625,-0.00183109275692694,-0.0219731130831233,0.000264253918769706,0.00156683883815724,16.1650762932682
0.15234375,-0.000814233547185221,-0.00977080256622265,0.00027606878224393,0.000538164764941251,5.55224587989889
0.1640625,0.000229773228744771,0.00275727874493725,0.000278679166776776,-0.000508452395521592,-5.24570336459626
0.17578125,0.00126611907746632,0.0151934289295959,0.00027199803887865,-0.00153811711634503,-15.8687542893316
0.1875,0.00226025093049017,0.027123011165882,0.000256248155720819,-0.00251649908621117,-25.9627210724406
0.19921875,0.0031790231868114,0.0381482782417368,0.00023195463813312,-0.00341097782494424,-35.1910582199497
0.2109375,0.00399180282875733,0.047901633945088,0.000199927462415172,-0.00419173029117271,-43.2460814140288
0.22265625,0.00467149076516105,0.0560578891819326,0.000161234454717113,-0.00483272521987818,-49.8592260934832
0.234375,0.00519542534899979,0.0623451041879974,0.000117165688372148,-0.00531259103737205,-54.8100017325675
0.24609375,0.00554613794508481,0.0665536553410178,6.91904712425868E-05,-0.00561532841632746,-57.9333432712504
0.2578125,0.00571193535624085,0.0685432242748902,1.89083571487756E-05,-0.00573084371338951,-59.1251145910396
0.26953125,0.00568728968913845,0.0682474762696614,-3.20041852531743E-05,-0.00565528550388577,-58.3455805435895
0.28125,0.00547302266118492,0.065676271934219,-8.18496680367077E-05,-0.00539117299314826,-55.6207317703106
0.29296875,0.00507627820343467,0.060915338441216,-0.000128966180382016,-0.00494731202305269,-51.0414181418347
0.3046875,0.0045102842729811,0.0541234112757731,-0.000171782798759244,-0.00433850147422212,-44.7603197095496
0.31640625,0.00379391181630269,0.0455269417956323,-0.000208871963489534,-0.00358503985281324,-36.9868561614742
0.328125,0.00295104558827086,0.0354125470592503,-0.000238997075370779,-0.0027120485128998,-27.9802045075873
0.33984375,0.00200978780451244,0.0241174536541493,-0.000261153725446145,-0.00174863407906644,-18.0406577937284
0.3515625,0.00100152117834503,0.0120182541401403,-0.00027460318325243,-0.000726917995092617,-7.49961295537053
0.36328125,-4.01374181877578E-05,-0.000481649018253094,-0.0002788970270232,0.000319034445210993,3.29147837124182
0.375,-0.00108045778293109,-0.0129654933951731,-0.0002738920946296,0.00135434987756071,13.9728276867939
0.38671875,-0.00208475433205398,-0.0250170519846478,-0.000259755256785565,0.00234450958883958,24.188305428058
0.3984375,-0.00301954256085354,-0.0362345107302424,-0.000236957853369398,0.00325650041422296,33.5973147735383
0.41015625,-0.00385365545907638,-0.0462438655089166,-0.000206259978362384,0.00405991543743873,41.8861475680554
0.421875,-0.00455928265807485,-0.0547113918968982,-0.000168685137361516,0.00472796779543652,48.7784437455185
0.43359375,-0.00511289766332457,-0.0613547719598948,-0.000125486122624516,0.00523838378594909,54.0444055196368
0.4453125,-0.00549604225721782,-0.0659525070866138,-7.81032434036908E-05,0.0055741455006209,57.5084591299058
0.45703125,-0.00569594191915268,-0.0683513030298322,-2.81163042321706E-05,0.00572405822338543,59.0551086906675
0.46875,-0.00570593174405213,-0.0684711809286256,2.28080677331689E-05,0.00568312367631888,58.6327869685819
0.48046875,-0.00552567865864203,-0.0663081439037043,7.29719901562953E-05,0.00545270666848583,56.2555746987684
0.4921875,-0.00516119252653594,-0.0619343103184313,0.00012070293503999,0.00504048959149577,52.0027311154619
0.50390625,-0.00462462577184934,-0.055495509262192,0.000164409492903915,0.00446021627894563,46.0160513498821
0.515625,-0.00393386820216716,-0.0472064184260059,0.000202634432371966,0.00373123376979521,38.4951388029772
0.52734375,-0.00311195053994936,-0.0373434064793923,0.000234103286090788,0.00287784725385854,29.6907501180586
0.5390625,-0.00218627654940273,-0.0262353185928328,0.000257766843066358,0.00192850970633631,19.8964346402717
0.55078125,-0.00118770936066241,-0.0142525123279489,0.00027283613067363,0.000914873229988842,9.43874711379489
0.5625,-0.000149542454380998,-0.00179450945257198,0.000278808719991159,-0.00012926626561016,-1.33364006230003
0.57421875,0.00089361038461259,0.0107233246153511,0.000275485477411355,-0.00116909586202396,-12.0615620085012
0.5859375,0.00190696913424852,0.0228836296109822,0.000262977204003675,-0.00216994633825225,-22.3873363717485
0.59765625,0.00285674714470948,0.0342809657365137,0.000241700941268777,-0.00309844808597817,-31.9666889030368
