"Time","PVR.I","PVR.Vd","Compliance.I","Systemic Resistance.I","Systemic Resistance.Vd"
0,-0.00139741530811347,-0.167689836973617,-0.000171164175479053,0.00156857948359253,16.1830345322241
0.0078125,-0.0018142925036757,-0.217715100441085,-0.000161620936027835,0.00197591343970354,20.3854989574214
0.015625,-0.00220424785975147,-0.264509743170177,-0.000149674363849208,0.00235392222360068,24.2854155808882
0.0234375,-0.00256148955132506,-0.307378746159007,-0.000135506194229337,0.00269699574555439,27.8249051068847
0.03125,-0.00288071542703838,-0.345685851244605,-0.000119326925009617,0.00300004235204799,30.9514369460791
0.0390625,-0.00315718774963388,-0.378862529956066,-0.00010137668883453,0.00325856443846841,33.6186093116786
0.046875,-0.0033868033106488,-0.406416397277856,-8.19218910640901E-05,0.00346872520171289,35.7868379060719
0.0546875,-0.003566154317279,-0.42793851807348,-6.12512661621904E-05,0.00362740558344119,37.4239434043628
0.0625,-0.00369257896793609,-0.443109476152331,-3.96715930171248E-05,0.00373225056095322,38.5056290373543
0.0703125,-0.00376420095681011,-0.451704114817214,-1.75031419709223E-05,0.00378170409878104,39.015841187124
0.078125,-0.00377995732068035,-0.453594878481642,4.92507840666248E-06,0.00377503224227369,38.9470076435377
0.0859375,-0.00373961421466831,-0.448753705760197,2.72802042320334E-05,0.00371233401043627,38.300149985671
0.09375,-0.00364377038279902,-0.437252445935882,4.92304564395666E-05,0.00359453992635945,37.0848684202504
0.1015625,-0.00349384827186307,-0.419261792623569,7.04500648133167E-05,0.00342339820704976,35.3191993021323
0.109375,-0.00329207292046107,-0.395048750455329,9.06241028395963E-05,0.00320144881762148,33.0293474514008
0.1171875,-0.00304143893654455,-0.364972672385346,0.000109453161624961,0.00293198577491959,30.2492972398454
0.125,-0.00274566605354946,-0.329479926425936,0.000126657793512566,0.0026190082600369,27.0203082188007
0.1328125,-0.00240914392472686,-0.289097270967223,0.000141982659447883,0.00226716126527898,23.3903027738832
0.140625,-0.00203686697499454,-0.244424036999344,0.000155200318541493,0.00188166665645304,19.4131548946261
0.1484375,-0.00163436027719263,-0.196123233263116,0.000166114603586907,0.00146824567360573,15.1478906145903
0.15625,-0.00120759755283574,-0.144911706340288,0.00017456353243638,0.00103303402039936,10.6578119884602
0.1640625,-0.000762912514336668,-0.0915495017204001,0.000180421712026096,0.000582490802310571,6.00955760743816
0.171875,-0.000306904864498393,-0.0368285837398072,0.000183602199371898,0.000123302665126495,1.27211359611005
0.1796875,0.000153657651636508,0.018438918196381,0.000184057791915943,-0.000337715443552452,-3.48421023113065
0.1875,0.000611939688901184,0.073432762668142,0.000181781728073898,-0.000793721416975081,-8.18882385893191
0.1953125,0.00106113974739338,0.127336769687206,0.000176807787585615,-0.001237947534979,-12.7719047183783
0.203125,0.0014945911155567,0.179350933866804,0.000169209790179984,-0.00166380090573668,-17.1654339444853
0.2109375,0.00190586081282791,0.22870329753935,0.00015910049999439,-0.0020649613128223,-21.3042058643877
0.21875,0.00228884506341324,0.274661407609588,0.000146629952008649,-0.00243547501542188,-25.1267957341076
0.2265625,0.00263785988423868,0.316543186108642,0.000131983225331271,-0.00276984310956995,-28.5764713614332
0.234375,0.00294772544263201,0.353727053115841,0.000115377696385429,-0.00306310313901744,-31.6020350852429
0.2421875,0.00321384293175866,0.385661151811039,9.70598127608621E-05,-0.00331090274451952,-34.1585836152079
0.25,0.00343226282288065,0.411871538745678,7.73014356119459E-05,-0.0035095642584926,-36.2081744548681
0.2578125,0.00359974348148622,0.431969217778347,5.6395804885521E-05,-0.00365613928637174,-37.7203890174973
0.265625,0.00371379927735095,0.445655913282114,3.46531872597077E-05,-0.00374845246461066,-38.6727840773882
0.2734375,0.00377273747451456,0.452728496941747,1.23962713839201E-05,-0.00378513374589848,-39.0512248564346
0.28125,0.00377568335367835,0.453082002441402,-1.00446212392621E-05,-0.00376563873243909,-38.850094802574
0.2890625,0.00372259319417422,0.446711183300906,-3.23364386536837E-05,-0.00369025675552053,-38.0723789467053
0.296875,0.00361425492283611,0.433710590740333,-5.41483413726614E-05,-0.00356010658146345,-36.7296196009584
0.3046875,0.00345227642014374,0.414273170417249,-7.51566124661167E-05,-0.00337711980767763,-34.8417450558101
0.3125,0.00323906165719055,0.388687398862866,-9.50494619397493E-05,-0.0031440121952508,-32.4367738184025
0.3203125,0.00297777501763434,0.357333002116121,-0.000113531654102984,-0.00286424336353136,-29.550398781553
0.328125,0.00267229433413904,0.320675320096685,-0.000130328889249588,-0.00254196544488946,-26.2254574949245
0.3359375,0.00232715333630781,0.279258400356937,-0.000145191874621134,-0.00218196146168667,-22.5112964002214
0.34375,0.00194747436425464,0.233696923710556,-0.00015790002423491,-0.00178957434001972,-18.4630384659835
0.3515625,0.00153889234643259,0.18466708157191,-0.000168264732666025,-0.00137062761376656,-14.1407650912296
0.359375,0.00110747116998606,0.132896540398328,-0.000176132174196585,-0.000931338995789477,-9.60862441956004
0.3671875,0.000659613684799692,0.0791536421759631,-0.000181385585788872,-0.00047822809901082,-4.93387929749463
0.375,0.000201966676900486,0.0242360012280584,-0.000183947000000298,-1.80196769001886E-05,-0.185909006579246
0.3828125,-0.000258677778468836,-0.0310413334162604,-0.000183778402121377,0.000442456180590214,4.56482041514924
0.390625,-0.000715483120056888,-0.0858579744068265,-0.00018088229436333,0.000896365414420217,9.24780198057338
0.3984375,-0.00116166976404078,-0.139400371684894,-0.000175301658722033,0.00133697142276282,13.793534168644
0.40625,-0.00159061572184433,-0.19087388662132,-0.000167119319069426,0.00175773504091376,18.1345524171072
